food,22
industry,18
farm,17
manufacturer,14
farmers,14
manufacturers,12
local,11
-,10
industries,10
smes,9
producers,9
msmes,8
research,7
laboratories,7
product,6
philippine,6
processors,6
dost,5
sector,5
manufacturing,5
general,5
researchers,5
regional,4
products,4
consumers,4
meat,4
government,4
rd,4
public,4
use,4
sectors,3
service,3
using,3
companies,3
2,3
processing,3
packaging,3
academe,3
facilities,3
cassava,3
materials,3
philippines,3
-based,3
testing,3
agencies,3
community,3
farmersgrowers,2
field,2
metrology,2
health,2
andor,2
units,2
swine,2
chemistry,2
small,2
halal,2
areas,2
end,2
lgus,2
industrial,2
chemical,2
medical,2
centers,2
science,2
plant,2
adhesives,2
fresh,2
department,2
regulatory,2
biodiesel,2
construction,2
development,2
technology,2
dost-itdi,2
bottled,2
coconut,2
natural,2
okra,2
private,2
pharmaceutical,2
prone,2
exporters,2
need,2
mmic,2
fruit,2
salt,1
owners,1
restaurateurs,1
women,1
manufactures,1
butter,1
safety,1
beet,1
disasters,1
mining,1
employees,1
convenience,1
muslim,1
innovation,1
design,1
crop,1
might,1
fruits,1
academia,1
hospitals,1
institutions,1
dragon,1
resource,1
back-up,1
actinomycetes,1
viscaya,1
section,1
bacterial,1
bodies,1
supermarkets,1
delivery,1
scale,1
energy,1
packagaing,1
colleges,1
traders,1
related,1
sucs,1
administration,1
universities,1
specially,1
bangus,1
feed,1
contribute,1
laboratory,1
consumersgeneral,1
layer,1
calamity,1
affected,1
davao,1
livestock,1
professional,1
benguet,1
thermal,1
soldiers,1
talisay,1
policy,1
miners,1
stakeholders,1
engaged,1
closures,1
dealers,1
cancer,1
distributors,1
care,1
blue,1
isolation,1
boracay,1
cosmeticspersonal,1
calamities,1
treatment,1
inorganic,1
calibration,1
micro,1
meal,1
standards,1
man-,1
clients,1
tarlac,1
transport,1
banana,1
end-users,1
system,1
institutional,1
emergency,1
nanotechnolagy-based,1
sardines,1
inhabitants,1
herbal,1
situations,1
police,1
houses,1
logistics,1
eip,1
different,1
meat-based,1
national,1
institute,1
practitioners,1
pilot,1
drug,1
dressings,1
fresh-cut,1
restaurants,1
power,1
ternatepea,1
survivors,1
manufcaturing,1
magnetite,1
chamber,1
makersregulatory,1
peanut,1
nueva,1
trainees2,1
cellulose,1
shrimp,1
rth,1
biomedical,1
rubber,1
biological,1
allied,1
chemicals,1
chilled,1
producersmanufacturers,1
particularly,1
specialists,1
wholesalersretailersexporters,1
exporterimporter,1
semiconductor,1
battery,1
growersprocessors,1
bost,1
reference,1
poultry,1
large,1
academic,1
added,1
army,1
screening,1
manufaturers,1
value,1
ptd,1
fabrication,1
manufacturersprocessors,1
sugar,1
offices,1
farms,1
importers,1
mangosteen,1
state,1
producersfarmers,1
programs,1
medium,1
cooperatives,1
enterprises,1
chips,1
production,1
raisers,1
automotive,1
nanoclay,1
providers,1
customers,1
involved,1
wound,1
stores,1
root,1
usersgeneral,1
cacao,1
student,1
oil,1
fertilizer,1
vegetable,1
durain,1
team,1
inc,1
metal,1
